,DAY,base,AUD,BGN,BRL,CAD,CHF,CNY,CZK,DKK,GBP,HKD,HRK,HUF,IDR,ILS,INR,ISK,JPY,KRW,MXN,MYR,NOK,NZD,PHP,PLN,RON,RUB,SEK,SGD,THB,TRY,USD,ZAR
25,2020-02-06,EUR,1.6282,1.9558,4.6553,1.461,1.0715,7.6676,24.893,7.4725,0.84835,8.542,7.4563,336.76,15000.81,3.777,78.2845,138.1,120.87,1301.78,20.4852,4.5349,10.1288,1.6994,55.817,4.2451,4.7655,69.4575,10.555,1.5233,34.197,6.5886,1.1003,16.3028
26,2020-02-07,EUR,1.6417,1.9558,4.7078,1.4604,1.0705,7.6711,25.03,7.4724,0.8472,8.5168,7.455,338.15,15063.25,3.7585,78.3625,137.9,120.51,1309.78,20.5281,4.5412,10.1673,1.7094,55.816,4.2653,4.7613,70.0203,10.5455,1.5255,34.333,6.5688,1.0969,16.4204
27,2020-02-10,EUR,1.6373,1.9558,4.721,1.458,1.07,7.6471,25.026,7.4724,0.84628,8.5039,7.455,337.37,15037.15,3.7483,78.107,137.9,120.18,1301.41,20.5466,4.5425,10.1188,1.7108,55.657,4.2656,4.7663,70.112,10.5728,1.5209,34.277,6.5897,1.0951,16.4786
28,2020-02-11,EUR,1.626,1.9558,4.6995,1.4495,1.0667,7.6025,24.965,7.4721,0.84325,8.4658,7.459,337.93,14919.11,3.72,77.6945,137.9,119.73,1290.63,20.3563,4.5059,10.0953,1.7055,55.061,4.2569,4.7693,69.3198,10.5373,1.5127,34.082,6.5775,1.0901,16.2331
29,2020-02-12,EUR,1.6175,1.9558,4.7286,1.4468,1.0645,7.6073,24.878,7.4718,0.84058,8.4788,7.4575,339.49,14912.89,3.7325,77.8345,137.9,120.03,1288.0,20.3274,4.514,10.0445,1.6832,55.189,4.2554,4.7663,68.753,10.4965,1.5122,33.948,6.5923,1.0914,16.1266
30,2020-02-13,EUR,1.6138,1.9558,4.7182,1.4406,1.0633,7.589,24.835,7.4721,0.83375,8.4398,7.4513,337.12,14892.14,3.7231,77.4495,137.7,119.21,1286.02,20.2411,4.5006,10.0415,1.6835,54.863,4.2513,4.7645,69.0209,10.4823,1.5096,33.839,6.5843,1.0867,16.1313
31,2020-02-14,EUR,1.6151,1.9558,4.6927,1.4363,1.0641,7.5757,24.828,7.4713,0.83208,8.4214,7.449,335.67,14870.88,3.7177,77.466,137.5,119.11,1283.75,20.1606,4.4886,10.0258,1.6864,54.806,4.249,4.7684,68.9116,10.5085,1.509,33.848,6.5735,1.0842,16.1139
32,2020-02-17,EUR,1.6129,1.9558,4.6739,1.4334,1.0641,7.5645,24.793,7.4701,0.83238,8.416,7.4465,334.64,14792.48,3.7131,77.342,137.7,119.05,1282.7,20.1243,4.4911,10.0373,1.6864,54.787,4.262,4.7768,68.7554,10.5323,1.5047,33.778,6.5542,1.0835,16.2095
33,2020-02-18,EUR,1.6195,1.9558,4.7009,1.4345,1.0619,7.5732,24.898,7.4702,0.82985,8.4024,7.444,334.83,14780.06,3.7028,77.39,137.7,118.7,1288.74,20.1596,4.4919,10.0883,1.6921,54.799,4.2746,4.7823,68.9685,10.5498,1.5058,33.773,6.5643,1.0816,16.2792
34,2020-02-19,EUR,1.6142,1.9558,4.7184,1.4281,1.0621,7.5538,24.962,7.4693,0.83148,8.3925,7.4453,336.33,14783.04,3.6946,77.2345,138.1,119.35,1284.75,20.069,4.4955,10.0178,1.6883,54.616,4.2712,4.7792,68.6245,10.5743,1.5033,33.696,6.5606,1.08,16.1425
35,2020-02-20,EUR,1.6294,1.9558,4.7341,1.4304,1.0616,7.5787,25.037,7.4681,0.8384,8.396,7.4495,338.0,14790.39,3.7009,77.2745,138.1,120.86,1301.79,20.1685,4.5145,10.0455,1.7046,54.725,4.2825,4.7979,68.806,10.5985,1.5111,33.924,6.5806,1.079,16.2966
36,2020-02-21,EUR,1.6363,1.9558,4.755,1.432,1.061,7.5945,25.061,7.4702,0.8351,8.4117,7.449,337.1,14867.58,3.6985,77.754,138.3,120.96,1309.45,20.5183,4.5294,10.0873,1.7104,54.955,4.2835,4.804,69.548,10.569,1.5131,34.164,6.6131,1.0801,16.2965
37,2020-02-24,EUR,1.6384,1.9558,4.7474,1.4372,1.06,7.6102,25.186,7.4699,0.83833,8.4324,7.465,337.61,15098.95,3.7208,77.8265,139.3,120.52,1319.2,20.7234,4.5728,10.1328,1.7095,55.248,4.2989,4.8063,70.6675,10.5833,1.5164,34.336,6.6599,1.0818,16.3592
38,2020-02-25,EUR,1.6442,1.9558,4.7569,1.4403,1.0605,7.6045,25.226,7.4701,0.8363,8.4445,7.4567,337.41,15094.7,3.7158,77.724,139.3,119.92,1315.68,20.6185,4.5886,10.16,1.716,55.36,4.3012,4.8098,70.7943,10.5688,1.5166,34.39,6.6688,1.084,16.4649
39,2020-02-26,EUR,1.6565,1.9558,4.7741,1.4469,1.0606,7.6329,25.344,7.471,0.8415,8.4742,7.4605,339.28,15221.86,3.7429,77.9195,139.3,120.13,1322.29,20.806,4.5952,10.2113,1.7273,55.538,4.3094,4.805,71.2368,10.5813,1.5204,34.664,6.6981,1.0875,16.4555
40,2020-02-27,EUR,1.6672,1.9558,4.8975,1.4636,1.0627,7.6813,25.283,7.4725,0.84995,8.5456,7.4625,338.37,15387.97,3.7671,78.538,139.3,120.46,1327.83,21.2601,4.6164,10.2918,1.7326,55.767,4.3124,4.81,72.1052,10.5753,1.5294,34.701,6.7538,1.0964,16.842
41,2020-02-28,EUR,1.6875,1.9558,4.9232,1.4757,1.0614,7.6662,25.39,7.4723,0.85315,8.555,7.4695,337.57,15749.25,3.8052,79.285,139.3,119.36,1324.98,21.637,4.6263,10.3888,1.7608,56.027,4.3259,4.813,73.6096,10.6738,1.5317,34.632,6.8348,1.0977,17.0961
42,2020-03-02,EUR,1.6998,1.9558,4.9938,1.4857,1.0655,7.7469,25.525,7.473,0.87113,8.6525,7.4835,336.92,15909.41,3.8826,80.917,141.7,119.82,1325.85,21.9963,4.6751,10.4043,1.7738,56.511,4.3276,4.8106,74.56,10.6063,1.5449,34.968,6.9253,1.1122,17.4202
43,2020-03-03,EUR,1.6911,1.9558,5.0032,1.4857,1.0646,7.7572,25.475,7.473,0.8701,8.6471,7.4853,336.68,15877.0,3.847,81.429,142.9,119.77,1327.59,21.6599,4.6758,10.3328,1.7728,56.467,4.3166,4.8087,74.005,10.559,1.5479,35.063,6.8626,1.1117,17.3245
44,2020-03-04,EUR,1.6794,1.9558,5.0146,1.4862,1.0647,7.7014,25.34,7.4727,0.8685,8.6437,7.4848,334.96,15702.94,3.8451,81.5025,142.2,119.58,1314.96,21.4105,4.6491,10.3051,1.7667,56.288,4.2968,4.8073,73.218,10.5555,1.54,34.866,6.7828,1.1125,16.9784
45,2020-03-05,EUR,1.6917,1.9558,5.148,1.5021,1.0663,7.7579,25.346,7.4712,0.8667,8.6936,7.4905,335.7,15851.98,3.8814,82.153,142.2,119.63,1327.01,22.0737,4.6532,10.371,1.7744,56.785,4.3029,4.811,74.307,10.5915,1.5495,35.295,6.8038,1.1187,17.2746
46,2020-03-06,EUR,1.7103,1.9558,5.2748,1.5213,1.0589,7.8511,25.458,7.4697,0.87165,8.8089,7.5035,335.48,16558.49,3.9576,83.586,143.0,119.08,1351.63,22.9958,4.7294,10.4983,1.7858,57.542,4.3042,4.811,77.5058,10.6145,1.563,35.64,6.9209,1.1336,17.8514
47,2020-03-09,EUR,1.733,1.9558,5.4418,1.5613,1.0594,7.96,25.504,7.4695,0.87383,8.9041,7.55,336.25,16488.05,4.0275,84.96,145.0,117.12,1374.71,24.3268,4.8304,10.89,1.8021,58.013,4.3132,4.8175,85.1553,10.7203,1.5841,36.081,7.0002,1.1456,18.2898
48,2020-03-10,EUR,1.7377,1.9558,5.3243,1.5579,1.0594,7.924,25.725,7.4714,0.87385,8.8496,7.5425,336.2,16282.0,4.0147,84.11,145.3,118.65,1357.12,23.8739,4.8265,10.8433,1.8006,57.537,4.326,4.8178,81.5975,10.8015,1.5817,35.809,6.9884,1.139,18.1596
49,2020-03-11,EUR,1.7389,1.9558,5.2874,1.5579,1.0591,7.8801,25.77,7.4726,0.8769,8.8071,7.5745,335.46,16269.99,4.0316,83.5215,145.7,118.55,1348.07,23.9025,4.8002,10.8558,1.7951,57.383,4.318,4.8213,81.3785,10.7238,1.5741,35.584,7.0236,1.1336,18.21
50,2020-03-12,EUR,1.7674,1.9558,5.5081,1.5524,1.0549,7.8877,26.203,7.4727,0.88623,8.7466,7.6,338.37,16434.0,4.0909,83.468,148.64,116.84,1359.4,24.8028,4.7944,11.3682,1.8173,57.645,4.3599,4.8213,84.0284,10.8945,1.5779,35.586,7.0361,1.124,18.4447
51,2020-03-13,EUR,1.7684,1.9558,5.2042,1.5389,1.0608,7.7587,26.042,7.4732,0.8907,8.6255,7.563,338.88,16400.61,4.0867,81.8765,150.0,119.11,1341.38,23.7835,4.7508,11.0966,1.812,56.453,4.357,4.8213,80.7385,10.8453,1.5684,35.244,6.985,1.1104,17.9235
52,2020-03-16,EUR,1.8198,1.9558,5.5381,1.5539,1.0546,7.8351,26.96,7.4731,0.90918,8.6682,7.5785,344.97,16756.2,4.1795,82.8075,151.2,117.76,1373.34,25.4478,4.8092,11.4765,1.8499,57.625,4.407,4.8343,83.5905,10.8998,1.5868,35.937,7.1568,1.1157,18.5602
53,2020-03-17,EUR,1.8287,1.9558,5.528,1.5512,1.0561,7.7095,26.985,7.4732,0.90823,8.5274,7.5823,347.04,16681.66,4.2411,81.567,154.4,117.5,1365.21,25.0491,4.7777,11.5063,1.842,56.563,4.4628,4.8418,82.346,10.9593,1.5691,35.461,7.1286,1.0982,18.2288
54,2020-03-18,EUR,1.8568,1.9558,5.6133,1.5749,1.0546,7.6925,27.154,7.4732,0.9219,8.4917,7.5935,351.38,16892.54,4.1654,81.1355,152.7,117.78,1377.8,26.2014,4.7793,11.701,1.8727,56.441,4.501,4.845,87.0959,11.0223,1.576,35.448,7.0491,1.0934,18.5624
55,2020-03-19,EUR,1.8635,1.9558,5.6037,1.5623,1.0535,7.6849,27.606,7.4731,0.92985,8.3849,7.608,356.06,17187.09,3.9802,81.14,152.2,118.63,1364.14,26.2955,4.7686,12.3165,1.8903,55.593,4.5604,4.8445,86.9346,11.1523,1.5643,35.076,7.0625,1.0801,18.68
56,2020-03-20,EUR,1.8226,1.9558,5.3937,1.5257,1.0546,7.5919,27.191,7.4691,0.91028,8.3056,7.6098,350.91,17050.9,3.8683,80.465,150.7,118.37,1335.64,25.6864,4.7052,12.1215,1.8521,54.895,4.5315,4.8505,85.1038,11.0598,1.5515,34.851,6.9806,1.0707,18.5127
57,2020-03-23,EUR,1.8586,1.9558,5.4652,1.551,1.059,7.6385,27.635,7.4706,0.9297,8.3631,7.606,352.33,17872.82,3.9572,82.1255,151.5,119.11,1355.1,26.613,4.793,12.2568,1.8939,55.425,4.6056,4.8481,86.08,11.0715,1.5745,35.438,7.1016,1.0783,19.014
58,2020-03-24,EUR,1.8315,1.9558,5.5116,1.5716,1.0572,7.6549,27.808,7.4669,0.921,8.4088,7.6118,353.07,17701.2,3.9379,82.358,151.7,119.99,1346.65,26.9302,4.804,11.9745,1.8676,55.375,4.6146,4.8357,85.1561,11.0888,1.5692,35.533,7.011,1.0843,19.0754
59,2020-03-25,EUR,1.7993,1.9558,5.4937,1.5539,1.0602,7.6844,27.446,7.4682,0.91503,8.3941,7.6083,354.97,17447.71,3.9411,82.699,151.9,120.67,1334.82,26.5704,4.7493,11.7745,1.8479,55.25,4.5817,4.8446,84.8015,10.9638,1.5651,35.491,6.9672,1.0827,18.8478
60,2020-03-26,EUR,1.8162,1.9558,5.4806,1.5466,1.0634,7.7675,27.55,7.4659,0.91348,8.5136,7.6115,354.99,17686.0,3.9585,82.5345,153.5,120.18,1336.46,26.0735,4.7603,11.5273,1.853,55.981,4.5748,4.8335,85.31,11.007,1.5759,35.836,7.0407,1.0981,19.1484
61,2020-03-27,EUR,1.8209,1.9558,5.5905,1.5521,1.0581,7.7894,27.299,7.4606,0.89743,8.5095,7.614,355.65,17716.88,3.9413,82.8695,154.0,119.36,1346.31,25.8329,4.7619,11.6558,1.8548,56.125,4.5306,4.8375,86.3819,11.0158,1.5762,35.769,7.0935,1.0977,19.3415
62,2020-03-30,EUR,1.8021,1.9558,5.6511,1.5626,1.0571,7.8337,27.315,7.4667,0.889,8.5559,7.6265,358.72,18088.04,3.9544,83.5,154.3,119.34,1351.52,26.246,4.7806,11.6888,1.8405,56.196,4.5509,4.8278,88.1385,11.0375,1.5732,36.081,7.2475,1.1034,19.7286
63,2020-03-31,EUR,1.7967,1.9558,5.7001,1.5617,1.0585,7.7784,27.312,7.4674,0.88643,8.4945,7.6255,360.02,17869.24,3.9018,82.8985,155.6,118.9,1341.03,26.1772,4.733,11.51,1.8417,55.865,4.5506,4.8283,85.9486,11.0613,1.5633,35.925,7.2063,1.0956,19.6095
64,2020-04-01,EUR,1.8053,1.9558,5.7349,1.5601,1.0564,7.7653,27.369,7.4642,0.8846,8.4781,7.6285,369.36,18239.61,3.9015,83.6004,156.1,117.55,1346.48,26.4097,4.7654,11.2685,1.8547,55.709,4.5815,4.834,86.475,10.9368,1.5689,36.111,7.2925,1.0936,19.6619
65,2020-04-02,EUR,1.797,1.9558,5.7023,1.5451,1.0551,7.7387,27.553,7.4661,0.87738,8.4545,7.6305,363.73,18166.12,3.9777,83.326,155.3,117.06,1339.88,26.4999,4.7524,11.2345,1.838,55.485,4.5697,4.832,85.8405,10.9265,1.5617,35.961,7.2665,1.0906,20.177
66,2020-04-03,EUR,1.8004,1.9558,5.6893,1.5299,1.0547,7.6476,27.539,7.4689,0.8785,8.3625,7.63,365.15,17918.68,3.9267,82.216,155.7,117.1,1332.82,26.547,4.7006,11.2628,1.8423,54.805,4.5765,4.8307,82.8075,10.952,1.5489,35.601,7.2296,1.0785,20.2642
67,2020-04-06,EUR,1.779,1.9558,5.7056,1.528,1.056,7.6519,27.603,7.466,0.878,8.3651,7.6255,365.24,17710.73,3.9144,82.106,155.5,117.54,1326.04,27.0896,4.7097,11.3875,1.82,54.667,4.5643,4.8335,82.481,10.9788,1.548,35.459,7.3136,1.0791,20.3534
68,2020-04-07,EUR,1.7578,1.9558,5.6678,1.5259,1.0582,7.6802,27.215,7.4675,0.88093,8.4381,7.632,357.62,17562.95,3.9178,82.252,155.3,118.55,1319.39,26.4166,4.7268,11.0945,1.816,54.915,4.5356,4.8315,82.5675,10.8788,1.5501,35.665,7.3562,1.0885,19.9838
69,2020-04-08,EUR,1.7596,1.9558,5.6741,1.5233,1.0557,7.6818,27.183,7.464,0.87948,8.4277,7.6235,359.34,17636.02,3.9054,82.873,155.8,118.36,1324.36,26.3367,4.7274,11.194,1.8194,54.977,4.5442,4.8365,82.1046,10.9385,1.5517,35.613,7.3798,1.0871,19.7624
70,2020-04-09,EUR,1.7444,1.9558,5.5956,1.5265,1.0558,7.6709,26.909,7.4657,0.87565,8.4259,7.6175,354.76,17243.21,3.8919,82.9275,155.9,118.33,1322.49,26.0321,4.7136,11.2143,1.8128,54.939,4.5586,4.833,80.69,10.9455,1.5479,35.665,7.3233,1.0867,19.6383
71,2020-04-14,EUR,1.7139,1.9558,5.6585,1.5257,1.0543,7.7366,26.864,7.4623,0.87253,8.4975,7.613,350.7,17229.09,3.928,83.494,155.9,117.66,1332.53,25.8485,4.7508,11.3118,1.8008,55.453,4.5473,4.8343,80.3923,10.9158,1.5521,35.86,7.4472,1.0963,20.0255
72,2020-04-15,EUR,1.7299,1.9558,5.7116,1.533,1.0534,7.6998,26.991,7.4637,0.87385,8.4513,7.61,350.3,17201.21,3.9412,83.414,156.1,117.12,1330.54,26.0801,4.7314,11.4503,1.8223,55.311,4.5381,4.8378,81.2045,10.9323,1.5533,35.631,7.5093,1.0903,20.4137
73,2020-04-16,EUR,1.7266,1.9558,5.699,1.5359,1.0516,7.6991,27.053,7.4619,0.87163,8.4391,7.601,349.56,17089.8,3.9082,83.705,156.5,117.12,1334.51,26.2939,4.7655,11.4145,1.821,55.414,4.5288,4.8373,80.621,10.8895,1.5539,35.56,7.5506,1.0888,20.2373
74,2020-04-17,EUR,1.7088,1.9558,5.6798,1.528,1.0515,7.6821,27.163,7.4603,0.86978,8.4171,7.5715,351.81,16925.99,3.8988,83.0565,156.5,116.86,1321.53,26.0926,4.7458,11.2845,1.8043,55.295,4.5185,4.8356,80.365,10.8548,1.5447,35.328,7.4981,1.086,20.3626
75,2020-04-20,EUR,1.7085,1.9558,5.7463,1.5325,1.0518,7.6819,27.328,7.4584,0.87343,8.4168,7.5503,354.57,16871.01,3.8783,83.1435,156.9,117.11,1323.52,26.1086,4.7507,11.2698,1.7962,55.126,4.5272,4.8377,80.9728,10.8623,1.5455,35.284,7.522,1.086,20.3486
76,2020-04-21,EUR,1.7266,1.9558,5.7619,1.5393,1.0517,7.6888,27.447,7.4582,0.8812,8.3987,7.57,355.02,17001.63,3.8522,83.376,157.8,116.39,1335.34,26.3957,4.7634,11.4843,1.8181,55.096,4.5291,4.8373,83.2936,10.9543,1.551,35.269,7.5658,1.0837,20.5853
77,2020-04-22,EUR,1.7199,1.9558,5.7866,1.5375,1.0523,7.6964,27.534,7.4589,0.8792,8.422,7.57,355.11,16935.13,3.85,83.1685,158.6,117.01,1339.66,26.3895,4.7437,11.6775,1.82,55.096,4.5349,4.8391,83.1961,10.9423,1.5508,35.176,7.6008,1.0867,20.4413
78,2020-04-23,EUR,1.6918,1.9558,5.8666,1.5226,1.0511,7.6259,27.551,7.4577,0.872,8.3489,7.575,357.51,16772.0,3.8207,81.94,158.6,115.75,1326.8,26.3418,4.6966,11.5165,1.7947,54.571,4.5379,4.8425,80.6062,10.8883,1.5331,34.815,7.4788,1.0772,20.5432
79,2020-04-24,EUR,1.6943,1.9558,6.0128,1.5173,1.0525,7.6455,27.31,7.4577,0.87498,8.3706,7.5523,355.19,16875.0,3.7985,82.366,158.6,116.22,1332.59,26.8331,4.7093,11.4785,1.7991,54.891,4.5284,4.8419,80.3991,10.8723,1.5396,35.03,7.5365,1.08,20.5019
80,2020-04-27,EUR,1.6795,1.9558,6.0328,1.5255,1.0557,7.686,27.184,7.4591,0.87263,8.4104,7.5525,354.57,16695.8,3.8109,82.6195,158.8,116.22,1328.82,27.0245,4.725,11.4513,1.7893,54.987,4.5287,4.837,80.4926,10.8748,1.5391,35.236,7.5775,1.0852,20.4109
81,2020-04-28,EUR,1.6734,1.9558,6.1004,1.5179,1.0586,7.6977,27.227,7.457,0.87078,8.4301,7.56,355.94,16714.69,3.808,82.522,159.5,116.06,1325.8,26.5269,4.7451,11.2783,1.7956,55.032,4.5468,4.8445,80.6862,10.748,1.5407,35.28,7.6115,1.0877,20.2913
82,2020-04-29,EUR,1.6655,1.9558,5.9318,1.5129,1.0571,7.6723,27.125,7.4571,0.87378,8.4029,7.564,355.55,16611.03,3.8058,82.0215,159.5,115.52,1321.59,26.1528,4.7136,11.2728,1.7831,54.763,4.5442,4.8435,79.821,10.7338,1.5344,35.15,7.5767,1.0842,19.9836
